userName,review_text,score,sentiment,label,date
Adhi Bayu,"Pas urgent tapi tidak dapat memesan GoRide maupun GoCar, ternyata akun Gojek saya diblokir padahal saya tidak melanggar apapun. Coba ke layanan CS untuk solusi agar dibuka atau dapat digunakan kembali tapi tidak ada balasan, malah BOT chat ditutup. Kalau sudah diblokir apakah tidak dapat digunakan kembali dan harus uninstall aplikasi ? Padahal langganan aplikasi Gojek dari dulu.",1,Negative,0,2024-12-31 18:10:06
nadia safitri,"ini gojek kenapa ya sekarang, saya pakai akun baru, biasanya suka ada voucher, tapi voucher goride sekarang tidak ada, tapi giliran saya beralih ke gocar, ada 2 voucher tapi pas giliran saya buka voucher, ternyata tidak ada voucher, apakah bug? tolong di perbaiki lahi",2,Negative,0,2024-12-31 12:46:20
Handini Putri,"Mahal, udah gak pernah dapet voucher. Padahal setiap hari pake goride nya.",2,Negative,0,2024-12-28 22:15:24
Hadi Efendy,"liatt baik baik anjeeeng, tujuan ga sampe sekilo masa ongkosnya sama dengan jarak yg 5 kilo ? kalo kek gini siapa yg mau pake goride ?? mending gocarr lah selisih cuma 3 rebu",1,Negative,0,2024-12-28 19:58:13
Ra Radyva,"Aman selalu Kenyamanan penumpang selalu diutamakan, dan Alhamdulillah juga member goride dan go car ramah-ramah ☺️",5,Positive,1,2024-12-28 11:16:25
Anisa meila Wati,Gojek bosok !! Bukan masalah nominal.. tp orderan goride pertama ke cancel sendiri sama sistem.. dan saya bayar pakai gopay Tp bisa nggak konsisten !! Emosi saya,1,Negative,0,2024-12-28 09:54:48
PAUL GTEP,Sekarang jumlah driver disekitar lokasi pemesanan Go-ride sudah tidak tampak LG Tolong diperbaiki,4,Negative,0,2024-12-27 22:00:44
Sa Papua,"Makin ga jelas ni gojek, goride paket hemat ga ada. Ditambah lagi pesen gofood makin lama dan makin anehhhh Tolong perbaiki!!!!",1,Negative,0,2024-12-27 14:17:55
badak kecil,"Goride hemat jangan di taro bawah dong,taro paling atas,kalo orang yg gatau ngiranya goride hematnya gaada",1,Negative,0,2024-12-27 13:37:08
Shinta Panduri,kok aplikasi gocar goride rada membingungkan skrng,4,Negative,0,2024-12-26 08:39:26
Irpan Saepul Anwar,Goride hemat ko jadi di bawah min susah nyari jadinya. Mending di keatasin lagi biar gamapang langsung pesan,3,Negative,0,2024-12-26 05:57:30
Slamet Slamet,"Parah..pesen goride skrg mahal jrk ke rmh cm 4 km 18 rbu biasany 10 rbu..skrg g ada lg voucher utk pnumpang, voucher hny brlaku bgi yg memiliki kartu kredit sgla bank...",1,Negative,0,2024-12-24 18:15:38
K1ana,Tolong di perbaikin goride hemat nya selalu hilang terus²an padahal sebelumnya ada terus pake goride hemat sangat membantu saya karena bukan sekali atau 2 kali saya pakai tapi selalu pulang kerja sangat menghemat ongkos saya jadi tolong perbaiki,5,Positive,1,2024-12-24 17:50:50
wardhani 3rd,"Kecewa,,udah bayar buat langganan,,tetep aja ongkos goride hemat nya LEBIH MAHAL dari apk sebelah,,habeuuuuuuuh makin irit drmn!!!",1,Negative,0,2024-12-24 02:16:39
Panji Wiratama,"FITUR HEMAT HAPUS AJA, UNTUK PENGGUNA GORIDE DAN GOFOOD FITUR INI MEMBUAT KONSUMEN MENUNGGU SANGAT SANGAT LAMA (30-45 menit) DAN HANYA DIBERI DISKONAN SEDIKIT🙏",1,Negative,0,2024-12-23 21:30:30
Rudy Kurniawan,"tolong pencarian drivenya di perbaiki, setiap kali saya memesan goride selalu dapat yang lokasinya jauh sekali",2,Negative,0,2024-12-23 17:21:44
wilujeng ajeng,"udah berkali² order go ride go car go food tetap aja lambat .. 1 hari ini full kecewa bgt.. hari ini d kota saya hujan dan saya butuh gocar goride.. itu gadapet pdhl posisi saya bawa bayi.. skrng malemnya pesan gofood juga telat sampe 1 jam an lebih :""",2,Negative,0,2024-12-22 21:24:09
Joko Supeno,Daftar gojek GoRide montor,5,Neutral,0,2024-12-21 17:37:29
Febriyanti,"payah bgt fitur GoRide nya, cape bgt pake gojek",1,Negative,0,2024-12-21 07:46:24
BERKAH CELL,"Percuma kasih kode voucher tapi nggak bisa digunakan semua..!! Mulai dari kode ( COBAINGOJEK,GORIDEAJA,LEBIHHEMAT DLL ).",2,Negative,0,2024-12-21 07:36:04
Jefris Okdean,"Akhir-akhir ini saya susah banget dapat driver sekalinya dapat rata2 yg pick up jauh2 lokasinya. Setelah saya cari tau ternyata rating Gojek penumpang saya jelek, perasaan saya ga pernah punya masalah sama driver. Mungkin perkara tips doang suka dinilai busuk. Tolong sistim gojek hapus penilaian rating customer karena karena ini driver kalian suka milih-milih kerjaan. Saya kalo pickup gosend bisa nunggu 1 jam, sedangkan pickup goride bisa 40 menit nunggu.",1,Negative,0,2024-12-21 07:07:00
Ainur Nisa,"Bagus,minta tolong lebih banyak promo untuk gocar sama goride comfort supaya bisa menikmati perjalanan dengan hemat dan nyaman terima kasih",5,Positive,1,2024-12-20 11:34:50
Man Cha,"Layanan Goride sangat membantu untuk aktifitas sehari"" di saat motor sedang perbaikan di bengkel, masukan nya mgkin cuman kalo cuaca sedang hujan dlm situasi urgent butuh transport, masih sering lama dpt driver nya.",5,Positive,1,2024-12-18 23:55:10
zanksr h,"tiap order gocar & goride titik mapsnya slalu ga akurat pdhl udh pake lokasi terkini tp tetep aja meleset, trus si driver/rider ngomel"" mulu sebel. pdhl kan yg salah apk nya hdeh..",1,Negative,0,2024-12-18 18:02:14
Panca Abdul ghani,"Makin susah dapat GO-RIDE, anehhhhh",1,Negative,0,2024-12-18 14:18:53
Astri Gemilang,"Goride oke lah, gofoodnya sampah bgt bakal nyari driver kalo makanan uda jadi. 1 jam lebih nunggu endingnya cancle karena gadapat driver. Keburu laper yg ada php doang.",2,Negative,0,2024-12-18 11:28:11
Elin Nafsiyah,"Tolong suspend tu goride atas nama jemiyanus us meo DK4234FCU GK jujur,sudah bayar pake gopay 46rb,minta uang lagi 50rb,Krn hp mati GK bisa cek notifikasi,kecewa Skali dg oknum driver",1,Negative,0,2024-12-18 09:32:43
Erman Pratama,"Gojek sok² banyak orderan ,buat slot goride padahal goride yg order itu² aja orgnya. Gofood sok2 buat slot kayak banyak aja orderan foodnya ya kali org tiap hari mesen gofood terus 🤣🤣🤣🤣",1,Negative,0,2024-12-17 15:22:23
ecaa,"overall oke, tapi kalo mau pesen goride/gofood pas lagi ujan susah jasa ketemu driver. gila kali gua tungguin 5 menitan ga dapet' sampe ujan reda.",3,Negative,0,2024-12-15 21:55:26
shucy rahma,Pesan grabfoodd lama Kebanyakan driver jg double order coba g usah di buat double order kita nunggu lama Sampai jam makan siang telat dari sblm jm makan siang smpai jm habis g datang2 cari goride jg susah,1,Negative,0,2024-12-14 11:25:46
Herlina Tumeang,"gofood nya mengecewakan sekali, udah nunggu sampe 2 jam, malah dibatalin dengan alasan gada driver, klw emg ga niat bisnis mending tutup aja aplikasinya, bukan hanya itu aja, pesan goride dll juga selalu drivernya gada, padahal jelas jelas banyak driver disekitar lokasi, makin hari makin ga banget ni aplikasi",2,Negative,0,2024-12-12 18:23:25
