user_name,rating,review_text,date,label,sentiment,teks_preprocessing
Ayun Hawa,1,"Aneh, voucher goride gocar gamuncul semua padahal saya punya banyak voucher yang muncul cuma voucher gosend diperbaiki deh tolong",2024-01-31 16:39:09,0,NEGATIF,aneh voucher goride gocar gamuncul voucher muncul voucher gosend baik deh
supri yanto,5,Kok buka aplikasi goride hilang2 mulu...,2024-01-31 13:37:36,0,NEGATIF,buka aplikasi goride hilang mulu
Ruwy Masyari,5,Gojek keren bisa pesen sekalian 2 goride satu waktu .... makasih gojek 😘😍🥰,2024-01-30 14:29:51,1,POSITIF,gojek keren pesan goride terima kasih gojek
Achmad Sayid,3,Sekarang udah mahal goride dan gofood,2024-01-30 09:18:49,0,NEGATIF,mahal goride gofood
Resa Agustin,1,Kesalahan dari sistem gojek saldo Gopay kepotong otomatis ketika melakukan transaksi order GoRide GoRide nya BATAL tp saldo Gopay kepotong dan gak balik lagi. Udh bikin laporan dan disuruh tuunggu 2x24 jam tp saldo ga masuk lagi ke akun gue. Hadeuuu rumit,2024-01-29 23:35:04,0,NEGATIF,salah sistem gojek saldo gopay potong otomatis transaksi order goride goride nya batal saldo gopay potong bikin lapor suruh tuunggu jam saldo masuk akun gue hadeu rumit
Siti Jubaidah,4,"Gojek udh bagus sih, cuma lebih banyakin lagi promo nya, trus juga kalo pesen goride padahal jarak nya deket bgt tpi kenapa hrus kena harga yang setara sma jarak jauh.",2024-01-29 11:06:27,1,POSITIF,gojek bagus sih banyakin promo nya pesan goride jarak nya banget kena harga tara sma jarak
zeni annisa,4,Overall membantu pergerakan saya lewat Goride atau GoCar. Hanya saja driver pasti tidak mau ambil kalo pilih yang pake Gocar atau Goride hemat. Padahal dengan tambahan voucher jadi meringankan sekali. Bagi saya yang sering juga mengandalkan Gosend untuk bisnis. Jadi percuma. Sebaiknya one system aja gak usah pilih pilh kayak gitu. Customer udah seneng tapi driver ndak ada yang mau ambil.,2024-01-28 05:40:56,0,NEGATIF,overall bantu gera goride gocar driver ambil pilih pakai gocar goride hemat tambah voucher ringan andal gosend bisnis one system pilih pilh kayak gitu customer neng driver ambil
Muhammad Mustofa,1,"Setiap pesan goride atau gofood selalu aja titik lokasi saya sulit ditemukan oleh driver, pdahal klau pesan memakai lokasi yg tertera dg titik kordinat",2024-01-27 21:17:24,0,NEGATIF,pesan goride gofood titik lokasi sulit temu driver pdahal klau pesan pakai lokasi tera titik kordinat
Bunda HilmaDheera,2,"saya sangat terganggu dengan iklan yg timbul dari aplikasi GO-JEK di hape bahkan saat saya sedang menulis pesan atau sedang menelpon tiba-tiba iklan muncul sehingga pekerjaan saya jadi terkendala. Padahal sebelumnya saya sangat terbantu dengan gojek baik untuk go ride, go food atau go Mart.",2024-01-27 21:11:42,0,NEGATIF,ganggu iklan timbul aplikasi go jek hape tulis pesan telpon iklan muncul kerja kendala bantu gojek go ride go food go mart
Nata Ketut,3,Goridenya bagus,2024-01-26 11:44:51,1,POSITIF,goridenya bagus
Ahmad Banyak,1,"Dapet driver goride nya lama padahal di kota depok mau berangkat kerja jadi telat ngga kaya aplikasi sebelah dapat drivernya cepat, sekalinya dapet jauh driver jemputnya",2024-01-25 11:55:47,0,NEGATIF,driver goride nya kota depok berangkat kerja lambat kaya aplikasi belah drivernya cepat sekali driver jemput
Dessy Sujatwati,1,Rute goridere selalu di lewatin jln kecil banyak polisi tidur menghambat percalan menyebalkan,2024-01-24 21:58:30,0,NEGATIF,rute goridere lewatin jalan polisi tidur hambat cal sebal
Khuzaimah Ramadini,3,"Permisi. Tolong untuk driver goride di tambahkan ya, ini penting banget apalagi ketika jam sibuk beroperasi untuk beberapa konsumen. Saya, mau pesan tapi sudah sebanyak 6x belum mendapatkan goride. Kalo kayak gini, bukan rating tentang driver nya melainkan tentang seberapa banyak aplikasi menyediakan driver untuk konsumen. Jadi mohon untuk di pertimbangkan kembali ya. Terimakasih",2024-01-23 06:48:07,0,NEGATIF,permisi driver goride tambah banget jam sibuk operasi konsumen pesan goride kayak gin rating driver nya aplikasi sedia driver konsumen mohon timbang terimakasih
Shopia,1,"Tambah berat, pesan goride aja gak bisa klik alamat tujuan. Giliran udah bisa malah pas dapet drivernya aplikasi ngestuck / delay, harus close aplikasi terus masuk lagi biar normal.",2024-01-23 05:48:10,0,NEGATIF,berat pesan goride klik alamat tuju gilir pas drivernya aplikasi ngestuck delay close aplikasi masuk biar normal
Gio sanjaya,4,Dah lama ga pake gojek karena ga dapet vocer goride adanya vocer goside mulu. Jadi beralih ke sebelah karena ada potongan harga,2024-01-21 00:52:01,0,NEGATIF,pakai gojek vocer goride vocer goside mulu alih belah potong harga
pkbm residivist,5,Goride Comport Mantap sekali,2024-01-20 16:31:46,1,POSITIF,goride comport mantap
