user_name,rating,review_text,date,label,sentiment
Ayun Hawa,1,"Aneh, voucher goride gocar gamuncul semua padahal saya punya banyak voucher yang muncul cuma voucher gosend diperbaiki deh tolong",2024-01-31 16:39:09,0,Negative
supri yanto,5,Kok buka aplikasi goride hilang2 mulu...,2024-01-31 13:37:36,0,Negative
Ruwy Masyari,5,Gojek keren bisa pesen sekalian 2 goride satu waktu .... makasih gojek 😘😍🥰,2024-01-30 14:29:51,1,Positive
Achmad Sayid,3,Sekarang udah mahal goride dan gofood,2024-01-30 09:18:49,0,Negative
Resa Agustin,1,Kesalahan dari sistem gojek saldo Gopay kepotong otomatis ketika melakukan transaksi order GoRide GoRide nya BATAL tp saldo Gopay kepotong dan gak balik lagi. Udh bikin laporan dan disuruh tuunggu 2x24 jam tp saldo ga masuk lagi ke akun gue. Hadeuuu rumit,2024-01-29 23:35:04,0,Negative
Siti Jubaidah,4,"Gojek udh bagus sih, cuma lebih banyakin lagi promo nya, trus juga kalo pesen goride padahal jarak nya deket bgt tpi kenapa hrus kena harga yang setara sma jarak jauh.",2024-01-29 11:06:27,1,Positive
zeni annisa,4,Overall membantu pergerakan saya lewat Goride atau GoCar. Hanya saja driver pasti tidak mau ambil kalo pilih yang pake Gocar atau Goride hemat. Padahal dengan tambahan voucher jadi meringankan sekali. Bagi saya yang sering juga mengandalkan Gosend untuk bisnis. Jadi percuma. Sebaiknya one system aja gak usah pilih pilh kayak gitu. Customer udah seneng tapi driver ndak ada yang mau ambil.,2024-01-28 05:40:56,0,Negative
Muhammad Mustofa,1,"Setiap pesan goride atau gofood selalu aja titik lokasi saya sulit ditemukan oleh driver, pdahal klau pesan memakai lokasi yg tertera dg titik kordinat",2024-01-27 21:17:24,0,Negative
Bunda HilmaDheera,2,"saya sangat terganggu dengan iklan yg timbul dari aplikasi GO-JEK di hape bahkan saat saya sedang menulis pesan atau sedang menelpon tiba-tiba iklan muncul sehingga pekerjaan saya jadi terkendala. Padahal sebelumnya saya sangat terbantu dengan gojek baik untuk go ride, go food atau go Mart.",2024-01-27 21:11:42,0,Negative
Nata Ketut,3,Goridenya bagus,2024-01-26 11:44:51,1,Positive
Ahmad Banyak,1,"Dapet driver goride nya lama padahal di kota depok mau berangkat kerja jadi telat ngga kaya aplikasi sebelah dapat drivernya cepat, sekalinya dapet jauh driver jemputnya",2024-01-25 11:55:47,0,Negative
Dessy Sujatwati,1,Rute goridere selalu di lewatin jln kecil banyak polisi tidur menghambat percalan menyebalkan,2024-01-24 21:58:30,0,Negative
Khuzaimah Ramadini,3,"Permisi. Tolong untuk driver goride di tambahkan ya, ini penting banget apalagi ketika jam sibuk beroperasi untuk beberapa konsumen. Saya, mau pesan tapi sudah sebanyak 6x belum mendapatkan goride. Kalo kayak gini, bukan rating tentang driver nya melainkan tentang seberapa banyak aplikasi menyediakan driver untuk konsumen. Jadi mohon untuk di pertimbangkan kembali ya. Terimakasih",2024-01-23 06:48:07,0,Negative
Shopia,1,"Tambah berat, pesan goride aja gak bisa klik alamat tujuan. Giliran udah bisa malah pas dapet drivernya aplikasi ngestuck / delay, harus close aplikasi terus masuk lagi biar normal.",2024-01-23 05:48:10,0,Negative
Gio sanjaya,4,Dah lama ga pake gojek karena ga dapet vocer goride adanya vocer goside mulu. Jadi beralih ke sebelah karena ada potongan harga,2024-01-21 00:52:01,0,Negative
pkbm residivist,5,Goride Comport Mantap sekali,2024-01-20 16:31:46,1,Positive
Andreas Gunawan,1,Tolong d perbaikin kembali kepada semua driver gocar mau goride d wilayah parung panjang bogor kenapa y setiap saya pesen k tujuan perumahan Sekar Tanjung banyak yang d cancel terus pa harus driver milih milih antara jarak Deket aj baru d bawah y pihak manajemen gojek Indonesia tolong d pm PM aj klo ada driver pilih pilih orderan sama cs penumpang d pm kshan lah penumpang bayar bukan ngutang Ama Lo gojek d training malah g bener malahan d wilayah parung panjang bogor tanks,2024-01-19 14:33:44,0,Negative
Pengguna Google,5,"Cukup bagus sih lumayan ada peningkatan, tp disayangkan beberapa driver mempermainkan cust dg alasan tarif terlalu murah, halo kita gabisa ngatur ya itu udah dari aplikasi tarifnya kita hanya bisa memilih menggunakan argo apa ride, car dll, kalau dirasa tarif terlalu murah silahkan lapor ke kantor/cs saja jk tdk sesuai keinginan kalian, jgn cm nerima order tp ga jalan², ujung-ujungnya dibatalkan sepihak.",2024-01-19 08:56:30,0,Negative
Michelle Hefanya,5,"gojek sangat membantu,hanya saja driver goride banyak yg ngebut mohon untuk dikurangi ngebutnya terimakasih",2024-01-19 06:00:43,0,Negative
Irvan Suhendra,1,prasaan gofood goride lebih mahal dari grab,2024-01-16 16:30:14,0,Negative
Ruqoyah Qolbi,5,"Pertahankan pelayanan kpd pelanggan & beri penghargaan yg sebesar-besarnya kpd para rider & driver. Kurangin potongan kpd mereka. Tanpa mereka, perusahaan ga ada apa2-nya",2024-01-14 16:27:58,1,Positive
Samuel Alex Van Putra,1,Knp stiap mau mesen Goride or Gocar slalu milih peta manual? Padahal udh di simpen lokasi favorit Tpi ttp aja harus nyari manual Menyusahkan,2024-01-13 10:15:09,0,Negative
Nazwar Daffa Ananda,1,"kenapa gak bisa kalau waktu Hujan? Mau GoCar ataupun GoRide, padahal ada hal genting",2024-01-13 05:54:39,0,Negative
Berliana wnp,1,"Tolong kalau kita sedang pesan goride/gocar cari driver yg lokasinya dekat dengan titik penjemputan. Sering bgt dapet driver yg jaraknya jauh, padahal driver yg mangkal di sekitar lokasi penjemputan banyak bangett. Tolong di perbaiki lgi. jangan buang² waktu kami hanya untuk nunggu driver yg datengnya lama karena jaraknya jauh!",2024-01-12 18:58:10,0,Negative
haningtiyas intan,1,Parah banget si ini kalo ujan go ride gak bisa dipesen sama sekali,2024-01-11 18:03:33,0,Negative
Affifah Official,1,"awalnya oke oke aja tapi lama lama saya pengguna goride wanita, sering sekali dapat perlakuan cabul dari driver. gojek kalo cari driver di interview dulu ga sih kepribadian nya??",2024-01-11 15:23:44,0,Negative
Yunita Ratna,1,"Pesen gocar sulit sekali....padahal sampe enggak pakai promo biar ada yang nyantol, padahal di maps banyak mobil begitu order alesan driver sibuk semua....males banget kecewa lah padahal yang goride enggak lho Tolong dong tarifnya di bikin biasa aja yang penting tetep bisa cepet nyantolnya kalau pesen ya kali nunggu setengah jam sama sekali enggak ada yang nyantol 😭",2024-01-11 14:13:12,0,Negative
Totot Kayanto,1,"Gojek kenapa sekarang dapat driver lama dan jaraknya jauh sekali, padahal disekitar saya ada beberapa driver yang menunggu orderan yang dapat malah yang jauh otomatis saya jadi menunggu terlalu lama dan akhirnya saya terlambat bekerja mohon diperbaiki masalah seperti ini sangat merugikan konsumen tidak hanya ride, food juga padahal disekitar resto banyak driver malah dapat yang jauh akhirnya saya menunggu makanan hampir 1 jam padahal resto yang saya pesan tidak terlalu ramai saya amat kecewa.",2024-01-11 14:10:29,0,Negative
bintang hadisumitro,1,"Gojek ngasih promo goride gocar tu boong, kita milih yg promo tapi sekali pun ga pernah nyantol, 10x ada kali saya pembatalan, begitu klik yg mahal langsung nyantol Kalo ganiat promo gausah promo Mengecewakan",2024-01-11 07:12:11,0,Negative
Amalia Risman,4,Semakin kesini kenapa makin jelek ya. Pesan go car/ goride suka lama. Mencari driver sering di kasih yang jauh dari lokasi jemputan padahal yg dekat lokasi jemputan ada. Tolong di perbaiki ya pak. Bagusan gojek yg dl deh. 🙏,2024-01-10 20:18:45,0,Negative
Roni Sulaeman,1,"Sudah order goride lama nunggu dapat drivernya, sudah gitu susah di batalin jauh sama aplikasi tetangga",2024-01-10 18:39:34,0,Negative
Sigit Eko Prasetya,1,"Aplikasinya sih masih bagus, tapi baru hari ini, 10 januari 2024, pesen gocar hampir 15 kali, goride 7 kali, ga ada yang nyantol, server sibuk, padahal cuaca cuma gerimis kecil, di pusat kota Purwokerto. Payah sekali ini. Ga siap kalau di butuhkan.",2024-01-10 18:37:46,0,Negative
Ikhsan,1,Aplikasi eror terus gak bisa pesan Goride malah gambar dinosaurus yang muncul,2024-01-10 18:27:46,0,Negative
GALIH 27,1,Sekarang kalo pesen goride lama banget ga ada supir nya yg mau terima pesanan saya jadi saya terpaksa jalan kaki,2024-01-10 14:29:18,0,Negative
is isam,1,"Sekarang susah mau pesan go ride, pagi hari selalu saja driver pada sibuk. Dah malas pakek Gojek",2024-01-10 07:00:03,0,Negative
M.raditya Adit,2,Saya kecewa dengan layanan gojek untuk menemukan Driver sangat sulit terutama untuk penggunaan Goride bisa 1 jam untuk menunggu saya harap gojek bisa memperbaiki masalah tersebut untuk cepat mendapatkan driver,2024-01-09 17:26:58,0,Negative
Trianto Ramadhan,5,"Dah bener baguss, Mau daftar goride jabodetabek belom buka""",2024-01-09 14:34:21,1,Positive
Toni Priyadi,1,"Tolong diperbaiki,kita pesen goride/gocar itu pngen cpt,tp mlh dikasih driver yg jauh,pdhal terdekate ada driver.tolong diberbaiki dong",2024-01-09 06:30:22,0,Negative
IKMAL TAFRIJI,5,giliran pake goride biasa dapetnya motor keren mulu paling sering Aerox sama Nmax tapi pas pake goride comfort malah dapet motor yg b aja Tapi keren si gojek Jadi Transportasi utama buat ke rumah ayang🤗🤣,2024-01-08 00:59:54,1,Positive
Budi family,1,kenapa map goride setiap dekat tol pasti di arahi ke lewat tol sehingga tarif tidak sesuai makasih,2024-01-07 22:40:43,0,Negative
